EDAD;GENERO;INGRESOS;EGRESOS;HABITO_PAGO;CREDITOS_VIGENTES;PUNTAJE_RIESGO;ESTADO
71;F; $ 2.240.000 ; $ 565.000 ;E;2;2.280;Aprobada
71;F; $ 1.792.000 ; $ 452.000 ;B;4;765;Negada
71;F; $ 918.400 ; $ 1.137.910 ;E;3;1.989;Aprobada
71;F; $ 1.680.000 ; $ 678.000 ;B;4;765;Negada
71;F; $ 2.352.000 ; $ 565.000 ;E;4;2.469;Desistida
71;F; $ 896.000 ; $ 576.300 ;E;3;2.127;Desistida
71;F; $ 1.465.530 ; $ 440.700 ;E;6;2.487;Desistida
71;F; $ 1.490.720 ; $ 339.000 ;E;5;2.283;Desistida
71;F; $ 1.680.000 ; $ 565.000 ;B;4;867;Negada
70;F; $ 1.680.000 ; $ 339.000 ;B;2;3;Negada
70;F; $ 1.344.000 ; $ 824.900 ;B;0;12;Anulada
70;F; $ 1.344.000 ; $ 824.900 ;B;0;12;Aprobada
70;F; $ 2.240.000 ; $ 1.367.300 ;B;1;2.226;Aprobada
70;F; $ 2.240.000 ; $ 1.367.300 ;B;1;2.226;Anulada
70;F; $ 1.344.000 ; $ 678.000 ;B;0;0;Desistida
70;F; $ 1.254.400 ; $ 474.600 ;B;1;2.259;Aprobada
70;F; $ 4.480.000 ; $ 2.260.000 ;E;4;2.319;Negada
70;F; $ 3.360.000 ; $ 2.260.000 ;B;3;1.359;Negada
70;F; $ 2.665.600 ; $ 1.695.000 ;B;1;2.184;Aprobada
70;F; $ 2.232.000 ; $ 615.850 ;K;4;2.094;Anulada
70;F; $ 2.232.000 ; $ 615.850 ;K;4;2.094;Aprobada
70;F; $ 1.344.000 ; $ 226.000 ;B;0;12;Negada
70;F; $ 1.848.000 ; $ 1.124.350 ;B;0;2.403;Aprobada
70;M; $ 1.120.000 ; $ 452.000 ;B;0;2.055;Negada
70;F; $ 2.240.000 ; $ 1.525.500 ;E;3;2.256;Desistida
70;F; $ 1.680.000 ; $ 452.000 ;E;1;2.472;Negada
70;F; $ 1.680.000 ; $ 899.480 ;B;1;2.298;Aprobada
70;F; $ 1.008.000 ; $ 395.500 ;B;0;2.316;Negada
70;F; $ 2.744.000 ; $ 791.000 ;E;6;2.226;Desistida
70;F; $ 2.240.000 ; $ 395.500 ;B;1;2.310;Desistida
70;F; $ 896.000 ; $ 1.130.000 ;E;4;2.577;Desistida
70;M; $ 3.360.000 ; $ 678.000 ;E;6;2.346;Desistida
70;M; $ 1.276.800 ; $ 169.500 ;B;2;1.200;Negada
70;M; $ 952.000 ; $ - ;B;2;3;Negada
70;F; $ 5.600.000 ; $ 1.695.000 ;E;8;2.136;Negada
70;M; $ 1.120.000 ; $ 282.500 ;E;3;2.400;Desistida
70;M; $ 896.000 ; $ 565.000 ;B;2;2.439;Negada
70;M; $ 1.128.960 ; $ 452.000 ;B;1;2.127;Aprobada
70;F; $ 1.680.000 ; $ 1.356.000 ;B;1;2.241;Negada
70;M; $ 8.960.000 ; $ 395.500 ;E;1;2.403;Desistida
70;M; $ 78.400.000 ; $ 30.227.500 ;E;15;1.842;Desistida
70;M; $ 2.576.000 ; $ 904.000 ;B;0;2.046;Desistida
69;F; $ 1.770.638 ; $ 226.000 ;B;4;972;Negada
69;F; $ 2.016.000 ; $ 452.000 ;B;1;3;Negada
69;F; $ 2.042.562 ; $ 791.000 ;E;5;1.089;Aprobada
69;M; $ 952.000 ; $ 339.000 ;B;0;1.941;Negada
69;F; $ 3.360.000 ; $ 2.260.000 ;B;0;2.352;Negada
69;F; $ 1.680.000 ; $ 565.000 ;B;0;0;Negada
69;F; $ 9.520.000 ; $ 4.520.000 ;E;5;2.379;Desistida
69;F; $ 1.904.000 ; $ 565.000 ;E;3;2.268;Desistida
69;F; $ 9.520.000 ; $ 4.520.000 ;E;5;2.256;Desistida
69;F; $ 1.134.180 ; $ 565.000 ;B;1;1.866;Desistida
69;F; $ 1.646.400 ; $ 452.000 ;B;4;1.239;Negada
69;F; $ 2.016.000 ; $ 565.000 ;E;3;2.406;Desistida
69;M; $ 3.360.000 ; $ 1.695.000 ;B;1;1.428;Negada
69;F; $ 1.064.000 ; $ 565.000 ;A;3;1.551;Desistida
69;F; $ 1.019.302 ; $ 226.000 ;E;2;1.341;Aprobada
69;M; $ 1.344.000 ; $ 565.000 ;B;0;2.028;Negada
69;F; $ 1.393.280 ; $ 452.000 ;E;2;2.565;Negada
69;F; $ 1.019.302 ; $ 226.000 ;E;2;1.341;Anulada
69;F; $ 1.064.000 ; $ 678.000 ;A;3;1.551;Desistida
69;M; $ 1.064.000 ; $ 339.000 ;E;4;2.175;Desistida
